schedule,session,title,place,speaker
09:00 - 09:30,Conference Opening,,,
09:30 - 10:00,Inaugural address,Alessandro Vespignani (Northeastern Universty and ISI Foundation),Aula Kessler,
10:00 - 10:45,Keynote speech,Esteban Moro,,
10:45 - 11:15,Coffee break,,,
11:15 - 01:00 PM,Parallel sessions,,,
01:00 - 02:30 PM,Lunch,,,
02:30 - 03:15 PM,Keynote speech,,,Alison Heppenstall
03:15 - 03:45 PM,Coffee break,,,
03:45 - 05:30 PM,Parallel sessions,,,
,,,,
08:00 PM,Conference Dinner,Ristorante Ca de' Gobj,,
