name,affiliation,location
Ivano Bison,University of Trento,Italy
Marco Albertini,University of Bologna,Italy
Luigi Curini,University of Milan,Italy
Andrea De Angelis,University of Milan,Italy
Antonio Zinilli,CNR,Italy
Ciro Cattuto,ISI Foundation,Italy
Giulia Andrighetto,CNR,Italy
Bruno Lepri,FBK,Italy
Alessia Melegaro,Bocconi University,Italy
Guido Caldarelli,CNR,Italy
Walter Quattrociocchi,University of Rome La Sapienza,Italy
Giovanni Cerulli,CNR,Italy
Mario Paolucci,CNR,Italy
Alessandro Vespignani,Northeastern University,USA
Manlio De Domenico,University of Padova,Italy
Flaminio Squazzoni,University of Milan,Italy
Francesca Colaiori,CNR,Italy 
Giuseppe Alessandro Veltri,National University of Singapore,Singapore 
Michele Tizzoni,University of Trento,Italy


